F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,TARGET
0.071428571,0,0.5,0.071428571,0,0.5,0,0.071428571,0.428571429,0.071428571,0,0.5,0.071428571,0,0,0.071428571,0.428571429,0.071428571,0,0.071428571,0,0.071428571,0,0.428571429,0.071428571,0.428571429,0.071428571,0.071428571,0,0.428571429,0,0,0.071428571,0,0.071428571,0,0.071428571,0.428571429,0,100.0003163
0.071428571,0.428571429,0.071428571,0.071428571,0,0.5,0,0.5,0,0.071428571,0,0.5,0.5,0,0,0.071428571,0.428571429,0.071428571,0,0.5,0,0.071428571,0,0.428571429,0.071428571,0.428571429,0.071428571,0.071428571,0,0.428571429,0.428571429,0,0.071428571,0,0.071428571,0,0.5,0,0,87.50123698
0.391304348,0.065217391,0.152173913,0.217391304,0.282608696,0.152173913,0.130434783,0.326086957,0.108695652,0.173913043,0.195652174,0.152173913,0.282608696,0.086956522,0.086956522,0.369565217,0.108695652,0.108695652,0.239130435,0.217391304,0.152173913,0.304347826,0.304347826,0.108695652,0.152173913,0.195652174,0.326086957,0.326086957,0.282608696,0.130434783,0.195652174,0.065217391,0.152173913,0.239130435,0.326086957,0.152173913,0.152173913,0.152173913,0.304347826,10.00374432
0.294117647,0.176470588,0.176470588,0.176470588,0,0.235294118,0.352941176,0.176470588,0.058823529,0.294117647,0,0.352941176,0.470588235,0.058823529,0.058823529,0.058823529,0.235294118,0.117647059,0.058823529,0.470588235,0.058823529,0.117647059,0.058823529,0.235294118,0.117647059,0.235294118,0.058823529,0.117647059,0.058823529,0.235294118,0.470588235,0,0,0.176470588,0.117647059,0.058823529,0.235294118,0.117647059,0.235294118,100.0894934
0.294117647,0.294117647,0.117647059,0.058823529,0,0.411764706,0.352941176,0.176470588,0.235294118,0.058823529,0.117647059,0.294117647,0.470588235,0.058823529,0.058823529,0.176470588,0.411764706,0,0,0.529411765,0,0,0.176470588,0.411764706,0,0.411764706,0.176470588,0,0.176470588,0.411764706,0.588235294,0,0,0.235294118,0.058823529,0,0.352941176,0.176470588,0.235294118,100.0874402
0,0.636363636,0.181818182,0.090909091,0.090909091,0.454545455,0.454545455,0.272727273,0.090909091,0.090909091,0.181818182,0.636363636,0.181818182,0.454545455,0.090909091,0.181818182,0.454545455,0.181818182,0,0.636363636,0,0.181818182,0,0.454545455,0.181818182,0.636363636,0,0.181818182,0,0.454545455,0.454545455,0,0,0.818181818,0,0,0.636363636,0,0,12.24934392
0,0.636363636,0,0.090909091,0.090909091,0.454545455,0.272727273,0.454545455,0.090909091,0.090909091,0.181818182,0.454545455,0.363636364,0.272727273,0.272727273,0,0.636363636,0,0,0.636363636,0,0.181818182,0,0.454545455,0,0.636363636,0,0,0,0.454545455,0.454545455,0,0,0.454545455,0,0,0.636363636,0,0,43.15875299
0.222222222,0.222222222,0.111111111,0.055555556,0,0.333333333,0.444444444,0.111111111,0,0.055555556,0.055555556,0.277777778,0.222222222,0.166666667,0.166666667,0.388888889,0.111111111,0.111111111,0,0.388888889,0,0,0.166666667,0.111111111,0,0.333333333,0.166666667,0,0.166666667,0.111111111,0.444444444,0,0,0.333333333,0.055555556,0,0.277777778,0.166666667,0.166666667,7.819330034
0.238095238,0.285714286,0.19047619,0.333333333,0.142857143,0.238095238,0.238095238,0.19047619,0.19047619,0.142857143,0.380952381,0.095238095,0.238095238,0.19047619,0.095238095,0.238095238,0.285714286,0.19047619,0.19047619,0.333333333,0.095238095,0.047619048,0.285714286,0.428571429,0.142857143,0.333333333,0.19047619,0.047619048,0.285714286,0.428571429,0.380952381,0.142857143,0.142857143,0.333333333,0.142857143,0.142857143,0.285714286,0.142857143,0.238095238,90.31093564
0.243243243,0.162162162,0.189189189,0.216216216,0.108108108,0.162162162,0.243243243,0.135135135,0.135135135,0.216216216,0.351351351,0.081081081,0.216216216,0.27027027,0.108108108,0.189189189,0.243243243,0.108108108,0.135135135,0.324324324,0.162162162,0.216216216,0.27027027,0.081081081,0.189189189,0.243243243,0.162162162,0.135135135,0.189189189,0.162162162,0.216216216,0,0.027027027,0.27027027,0.135135135,0.189189189,0.297297297,0.243243243,0.108108108,65.06430664
0.228571429,0.2,0.257142857,0.228571429,0.142857143,0.257142857,0.285714286,0.2,0.2,0.257142857,0.228571429,0.228571429,0.457142857,0.114285714,0.057142857,0.228571429,0.257142857,0.2,0.114285714,0.314285714,0.257142857,0.314285714,0.171428571,0.2,0.257142857,0.2,0.228571429,0.257142857,0.171428571,0.2,0.342857143,0.028571429,0.085714286,0.114285714,0.314285714,0.114285714,0.4,0.085714286,0.028571429,0.45332509
0.057142857,0.257142857,0.371428571,0.2,0.114285714,0.285714286,0.257142857,0.2,0.2,0.142857143,0.371428571,0.257142857,0.314285714,0.314285714,0.028571429,0.057142857,0.371428571,0.257142857,0.057142857,0.314285714,0.314285714,0.342857143,0.085714286,0.228571429,0.371428571,0.257142857,0.057142857,0.228571429,0.085714286,0.228571429,0.314285714,0,0,0.2,0.171428571,0.257142857,0.314285714,0.171428571,0,1.275707675
0.176470588,0.235294118,0.235294118,0.352941176,0.058823529,0.294117647,0.352941176,0.117647059,0.235294118,0.058823529,0.176470588,0.294117647,0.235294118,0.235294118,0.235294118,0.176470588,0.352941176,0.117647059,0.117647059,0.294117647,0.176470588,0.176470588,0.470588235,0.176470588,0.176470588,0.294117647,0.117647059,0.117647059,0.176470588,0.470588235,0.529411765,0,0,0.294117647,0.117647059,0.058823529,0.352941176,0.176470588,0.058823529,2.000967166
0.235294118,0.235294118,0.235294118,0.294117647,0.058823529,0.294117647,0.235294118,0.176470588,0.176470588,0.117647059,0.176470588,0.294117647,0.235294118,0.235294118,0.235294118,0.176470588,0.411764706,0.058823529,0.117647059,0.352941176,0.117647059,0.117647059,0.588235294,0.117647059,0.117647059,0.352941176,0.117647059,0.058823529,0.176470588,0.529411765,0.588235294,0,0,0.352941176,0.117647059,0,0.352941176,0.235294118,0.117647059,2.00091 29
0.076923077,0.461538462,0.076923077,0,0,0.384615385,0.153846154,0.384615385,0.076923077,0.076923077,0.153846154,0.384615385,0.153846154,0.384615385,0,0.076923077,0.461538462,0.153846154,0,0.538461538,0,0,0,0.615384615,0,0.538461538,0,0,0,0.615384615,0.538461538,0,0,0.538461538,0,0,0.461538462,0.076923077,0.076923077,3.204931147
0,0.210526316,0.315789474,0,0.105263158,0.368421053,0.263157895,0.157894737,0.315789474,0.105263158,0.210526316,0.315789474,0.263157895,0.157894737,0.263157895,0.052631579,0.263157895,0.263157895,0,0.210526316,0.210526316,0.263157895,0.105263158,0.263157895,0.315789474,0.210526316,0,0.263157895,0.052631579,0.315789474,0.210526316,0,0,0.473684211,0.157894737,0.052631579,0.210526316,0.210526316,0,115.6972396
0.305555556,0.083333333,0.166666667,0.111111111,0.388888889,0.25,0.055555556,0.527777778,0.083333333,0.361111111,0.305555556,0.055555556,0.194444444,0.25,0,0.444444444,0.083333333,0.027777778,0.25,0.138888889,0.305555556,0.083333333,0.472222222,0.027777778,0.277777778,0.083333333,0.277777778,0.305555556,0.138888889,0.361111111,0.277777778,0,0.111111111,0.111111111,0.25,0.305555556,0.083333333,0.333333333,0.305555556,32.0153635
0.111111111,0.222222222,0.277777778,0.277777778,0.111111111,0.277777778,0.222222222,0.166666667,0.111111111,0.166666667,0.444444444,0.055555556,0.222222222,0.277777778,0.055555556,0.166666667,0.166666667,0.222222222,0.166666667,0.333333333,0.166666667,0.166666667,0.222222222,0.333333333,0.277777778,0.222222222,0.111111111,0.111111111,0.166666667,0.388888889,0.444444444,0,0,0.222222222,0.277777778,0.111111111,0.222222222,0.277777778,0.111111111,7.497183433
0.222222222,0.277777778,0.222222222,0.111111111,0.111111111,0.5,0.166666667,0.222222222,0.277777778,0.222222222,0.222222222,0.277777778,0.277777778,0.222222222,0.055555556,0.222222222,0.277777778,0.111111111,0.166666667,0.333333333,0.166666667,0.222222222,0.222222222,0.222222222,0.222222222,0.277777778,0.222222222,0.111111111,0.111111111,0.333333333,0.5,0,0,0.444444444,0.166666667,0.166666667,0.277777778,0.222222222,0.222222222,43.53770925
